Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
NKY 9/8/23 C33625,33625,22,24,23,13.34743309,466,NKY 9/8/23 P33625,33625,1,1,0,0,0
NKY 9/8/23 C33750,33750,16,16,16,13.55863762,613,NKY 9/8/23 P33750,33750,4,4,0,0,0
NKY 9/8/23 C33875,33875,9,11,10,13.51540756,277,NKY 9/8/23 P33875,33875,1,1,0,0,0
13-Oct-23 (42d); CSize 1000,,,,,,,,,,,,,
NKY 10/13/23 C31500,31500,1,1,0,0,0,NKY 10/13/23 P31500,31500,305,315,305,15.8045435,216
NKY 10/13/23 C31625,31625,1,1,0,0,0,NKY 10/13/23 P31625,31625,335,350,0,15.65723801,0
NKY 10/13/23 C31750,31750,1,1230,0,0,0,NKY 10/13/23 P31750,31750,380,380,365,15.56407833,104
NKY 10/13/23 C31875,31875,1,1,1100,0,1,NKY 10/13/23 P31875,31875,410,425,0,15.3964653,0
NKY 10/13/23 C32000,32000,4,4,0,0,0,NKY 10/13/23 P32000,32000,455,465,460,15.2740221,259
NKY 10/13/23 C32125,32125,865,875,875,14.89626789,12,NKY 10/13/23 P32125,32125,500,515,505,15.19040298,28
NKY 10/13/23 C32250,32250,785,805,830,14.79276085,2,NKY 10/13/23 P32250,32250,555,555,550,15.02558517,29
NKY 10/13/23 C32375,32375,715,735,0,14.72397137,0,NKY 10/13/23 P32375,32375,600,620,605,14.95475101,48
NKY 10/13/23 C32500,32500,650,665,690,14.62694931,4,NKY 10/13/23 P32500,32500,665,680,665,14.96808243,45
NKY 10/13/23 C32625,32625,585,605,615,14.55648708,5,NKY 10/13/23 P32625,32625,725,745,0,14.8978548,0
NKY 10/13/23 C32750,32750,530,545,565,14.51236439,32,NKY 10/13/23 P32750,32750,790,810,745,14.79969883,21
NKY 10/13/23 C32875,32875,475,495,510,14.50082302,3,NKY 10/13/23 P32875,32875,865,880,805,14.79125881,12
NKY 10/13/23 C33000,33000,430,440,440,14.45765018,359,NKY 10/13/23 P33000,33000,940,955,935,14.75437069,77
NKY 10/13/23 C33125,33125,380,395,395,14.38874435,41,NKY 10/13/23 P33125,33125,1,1,0,0,0
NKY 10/13/23 C33250,33250,340,355,360,14.41438866,81,NKY 10/13/23 P33250,33250,1,1,1055,0,1
NKY 10/13/23 C33375,33375,300,315,335,14.35723686,15,NKY 10/13/23 P33375,33375,1,1,0,0,0
NKY 10/13/23 C33500,33500,270,280,280,14.40867138,206,NKY 10/13/23 P33500,33500,1,1,0,0,0
NKY 10/13/23 C33625,33625,235,250,250,14.38056755,40,NKY 10/13/23 P33625,33625,1,1,0,0,0
NKY 10/13/23 C33750,33750,210,215,220,14.33804417,99,NKY 10/13/23 P33750,33750,1385,1550,0,14.49356651,0
NKY 10/13/23 C33875,33875,195,195,195,14.591362,15,NKY 10/13/23 P33875,33875,1405,1655,0,13.34110737,0
10-Nov-23 (70d); CSize 1000,,,,,,,,,,,,,
NKY 11/10/23 C31500,31500,1,1,0,0,0,NKY 11/10/23 P31500,31500,510,530,485,16.59345436,1
NKY 11/10/23 C31625,31625,1420,1470,0,16.67865944,0,NKY 11/10/23 P31625,31625,550,575,0,16.54989243,0
NKY 11/10/23 C31750,31750,1,1,0,0,0,NKY 11/10/23 P31750,31750,590,615,565,16.41438293,1
NKY 11/10/23 C31875,31875,1250,1300,0,16.36038017,0,NKY 11/10/23 P31875,31875,635,660,0,16.32778931,0
NKY 11/10/23 C32000,32000,1170,1210,0,16.13848877,0,NKY 11/10/23 P32000,32000,685,705,650,16.24150085,2
NKY 11/10/23 C32125,32125,1090,1125,0,15.91920567,0,NKY 11/10/23 P32125,32125,730,755,0,16.11003494,0
NKY 11/10/23 C32250,32250,1005,1055,0,15.74634171,0,NKY 11/10/23 P32250,32250,785,805,0,16.02321053,0
NKY 11/10/23 C32375,32375,955,980,0,15.78639317,0,NKY 11/10/23 P32375,32375,840,865,0,15.9743557,0
NKY 11/10/23 C32500,32500,890,910,930,15.693923,7,NKY 11/10/23 P32500,32500,900,925,0,15.92503834,0
NKY 11/10/23 C32625,32625,825,850,0,15.63908482,0,NKY 11/10/23 P32625,32625,960,985,0,15.82648754,0
NKY 11/10/23 C32750,32750,765,790,0,15.58321571,0,NKY 11/10/23 P32750,32750,1010,1050,995,15.63997841,1
NKY 11/10/23 C32875,32875,710,730,0,15.51806259,0,NKY 11/10/23 P32875,32875,1080,1130,0,15.70725155,0
NKY 11/10/23 C33000,33000,655,680,0,15.49473572,0,NKY 11/10/23 P33000,33000,1150,1190,1110,15.55258846,1
NKY 11/10/23 C33125,33125,605,625,0,15.42298031,0,NKY 11/10/23 P33125,33125,1220,1265,0,15.48162842,0
NKY 11/10/23 C33250,33250,560,580,0,15.43812943,0,NKY 11/10/23 P33250,33250,1150,1435,0,14.94966793,0
NKY 11/10/23 C33375,33375,515,535,0,15.4061079,0,NKY 11/10/23 P33375,33375,1180,1465,0,13.96975136,0
NKY 11/10/23 C33500,33500,470,490,0,15.32522488,0,NKY 11/10/23 P33500,33500,1430,1480,0,14.86387825,0
NKY 11/10/23 C33625,33625,435,450,0,15.33886814,0,NKY 11/10/23 P33625,33625,1515,1565,0,14.81700611,0
NKY 11/10/23 C33750,33750,400,415,0,15.35587215,0,NKY 11/10/23 P33750,33750,1605,1655,0,14.81941128,0
NKY 11/10/23 C33875,33875,365,385,0,15.37829685,0,NKY 11/10/23 P33875,33875,1695,1745,0,14.77311134,0
08-Dec-23 (98d); CSize 1000,,,,,,,,,,,,,
NKY 12/8/23 C30250,30250,0,0,0,0,0,NKY 12/8/23 P30250,30250,380,400,0,18.17787743,0
NKY 12/8/23 C30500,30500,0,0,0,0,0,NKY 12/8/23 P30500,30500,430,445,415,17.87234306,3
NKY 12/8/23 C30750,30750,0,0,0,0,0,NKY 12/8/23 P30750,30750,480,500,0,17.56223869,0
NKY 12/8/23 C31000,31000,0,0,0,0,0,NKY 12/8/23 P31000,31000,545,565,0,17.37057114,0
NKY 12/8/23 C31250,31250,1770,1800,0,15.65606022,0,NKY 12/8/23 P31250,31250,610,635,0,17.10334778,0
NKY 12/8/23 C31500,31500,1675,1710,0,16.78097153,0,NKY 12/8/23 P31500,31500,690,710,0,16.89096642,0
NKY 12/8/23 C31750,31750,1495,1555,0,16.52918434,0,NKY 12/8/23 P31750,31750,775,800,0,16.71324921,0
NKY 12/8/23 C32000,32000,1355,1395,0,16.42199326,0,NKY 12/8/23 P32000,32000,870,890,845,16.48884964,1
NKY 12/8/23 C32250,32250,1210,1250,0,16.26218033,0,NKY 12/8/23 P32250,32250,975,995,0,16.32810974,0
NKY 12/8/23 C32500,32500,1075,1115,1140,16.11737633,1,NKY 12/8/23 P32500,32500,1080,1115,1055,16.14625168,1
NKY 12/8/23 C32750,32750,950,975,0,15.87939358,0,NKY 12/8/23 P32750,32750,1200,1240,0,15.98200321,0
NKY 12/8/23 C33000,33000,835,860,870,15.76100159,2,NKY 12/8/23 P33000,33000,1340,1375,0,15.90198708,0
NKY 12/8/23 C33250,33250,730,755,0,15.65830135,0,NKY 12/8/23 P33250,33250,1480,1520,0,15.76419163,0
NKY 12/8/23 C33500,33500,640,665,0,15.64867783,0,NKY 12/8/23 P33500,33500,1635,1695,0,15.83500481,0
NKY 12/8/23 C33750,33750,555,580,0,15.58498573,0,NKY 12/8/23 P33750,33750,1800,1845,0,15.65768051,0
NKY 12/8/23 C34000,34000,485,505,510,15.59216976,100,NKY 12/8/23 P34000,34000,0,0,0,0,0
NKY 12/8/23 C34250,34250,420,440,455,15.59973621,1,NKY 12/8/23 P34250,34250,0,0,0,0,0
NKY 12/8/23 C34500,34500,360,380,365,15.57531643,1,NKY 12/8/23 P34500,34500,0,0,0,0,0
NKY 12/8/23 C34750,34750,310,330,0,15.61071396,0,NKY 12/8/23 P34750,34750,0,0,0,0,0
NKY 12/8/23 C35000,35000,265,280,280,15.57071781,184,NKY 12/8/23 P35000,35000,0,0,0,0,0
12-Jan-24 (133d); CSize 1000,,,,,,,,,,,,,
NKY 1/12/24 C30250,30250,0,0,0,0,0,NKY 1/12/24 P30250,30250,545,570,0,18.51040077,0
NKY 1/12/24 C30500,30500,0,0,0,0,0,NKY 1/12/24 P30500,30500,600,620,0,18.18174553,0
NKY 1/12/24 C30750,30750,0,0,0,0,0,NKY 1/12/24 P30750,30750,665,690,0,18.00613403,0
NKY 1/12/24 C31000,31000,0,0,0,0,0,NKY 1/12/24 P31000,31000,735,760,0,17.78688622,0
NKY 1/12/24 C31250,31250,1920,1965,0,16.29269028,0,NKY 1/12/24 P31250,31250,810,835,0,17.55058479,0
NKY 1/12/24 C31500,31500,1835,1880,0,17.23633957,0,NKY 1/12/24 P31500,31500,895,920,0,17.36671638,0
NKY 1/12/24 C31750,31750,1660,1720,0,16.93335915,0,NKY 1/12/24 P31750,31750,985,1010,0,17.16081429,0
NKY 1/12/24 C32000,32000,1520,1570,0,16.83737373,0,NKY 1/12/24 P32000,32000,1070,1120,0,16.96314049,0
NKY 1/12/24 C32250,32250,1380,1425,0,16.676548,0,NKY 1/12/24 P32250,32250,1175,1215,0,16.70421982,0
NKY 1/12/24 C32500,32500,1245,1290,0,16.51992989,0,NKY 1/12/24 P32500,32500,1295,1345,0,16.6762352,0
NKY 1/12/24 C32750,32750,1120,1165,0,16.39072418,0,NKY 1/12/24 P32750,32750,1420,1465,0,16.51491356,0
NKY 1/12/24 C33000,33000,1005,1045,0,16.25771141,0,NKY 1/12/24 P33000,33000,1550,1605,0,16.41532135,0
NKY 1/12/24 C33250,33250,905,930,0,16.15592575,0,NKY 1/12/24 P33250,33250,1690,1740,0,16.2503376,0
NKY 1/12/24 C33500,33500,805,830,0,16.0526123,0,NKY 1/12/24 P33500,33500,1845,1890,0,16.18239212,0
NKY 1/12/24 C33750,33750,720,740,0,16.0175705,0,NKY 1/12/24 P33750,33750,2005,2050,0,16.11668587,0
NKY 1/12/24 C34000,34000,635,660,0,15.95362282,0,NKY 1/12/24 P34000,34000,0,0,0,0,0
NKY 1/12/24 C34250,34250,565,590,0,15.9711895,0,NKY 1/12/24 P34250,34250,0,0,0,0,0
NKY 1/12/24 C34500,34500,495,520,0,15.89284897,0,NKY 1/12/24 P34500,34500,0,0,0,0,0
NKY 1/12/24 C34750,34750,440,460,0,15.91197205,0,NKY 1/12/24 P34750,34750,0,0,0,0,0
NKY 1/12/24 C35000,35000,385,410,0,15.92324829,0,NKY 1/12/24 P35000,35000,0,0,0,0,0
09-Feb-24 (161d); CSize 1000,,,,,,,,,,,,,
NKY 2/9/24 C30250,30250,0,0,0,0,0,NKY 2/9/24 P30250,30250,675,700,0,18.62511444,0
NKY 2/9/24 C30500,30500,0,0,0,0,0,NKY 2/9/24 P30500,30500,740,760,0,18.39316177,0
NKY 2/9/24 C30750,30750,0,0,0,0,0,NKY 2/9/24 P30750,30750,805,830,0,18.16233635,0
NKY 2/9/24 C31000,31000,0,0,0,0,0,NKY 2/9/24 P31000,31000,880,905,0,17.96705246,0
NKY 2/9/24 C31250,31250,2020,2110,0,16.34820175,0,NKY 2/9/24 P31250,31250,960,985,0,17.76138306,0
NKY 2/9/24 C31500,31500,1975,2030,0,17.42382431,0,NKY 2/9/24 P31500,31500,1030,1080,0,17.5170536,0
NKY 2/9/24 C31750,31750,1810,1870,0,17.17136383,0,NKY 2/9/24 P31750,31750,1125,1180,0,17.38300323,0
NKY 2/9/24 C32000,32000,1675,1720,0,17.08325195,0,NKY 2/9/24 P32000,32000,1220,1275,0,17.14439583,0
NKY 2/9/24 C32250,32250,1535,1575,0,16.91765594,0,NKY 2/9/24 P32250,32250,1330,1375,0,16.94922829,0
NKY 2/9/24 C32500,32500,1395,1440,0,16.72989655,0,NKY 2/9/24 P32500,32500,1450,1495,0,16.84897614,0
NKY 2/9/24 C32750,32750,1275,1315,0,16.64483833,0,NKY 2/9/24 P32750,32750,1575,1620,0,16.73483086,0
NKY 2/9/24 C33000,33000,1155,1195,0,16.50201416,0,NKY 2/9/24 P33000,33000,1705,1750,0,16.59266281,0
NKY 2/9/24 C33250,33250,1045,1090,0,16.4276123,0,NKY 2/9/24 P33250,33250,1845,1895,0,16.51935768,0
NKY 2/9/24 C33500,33500,950,975,0,16.30239296,0,NKY 2/9/24 P33500,33500,1990,2050,0,16.45549583,0
NKY 2/9/24 C33750,33750,855,880,0,16.21608543,0,NKY 2/9/24 P33750,33750,2150,2195,0,16.3419857,0
NKY 2/9/24 C34000,34000,770,795,0,16.17252541,0,NKY 2/9/24 P34000,34000,2245,2285,0,15.39235878,0
NKY 2/9/24 C34250,34250,695,715,0,16.14525795,0,NKY 2/9/24 P34250,34250,0,0,0,0,0
NKY 2/9/24 C34500,34500,620,645,0,16.10553551,0,NKY 2/9/24 P34500,34500,0,0,0,0,0
NKY 2/9/24 C34750,34750,560,580,0,16.11930656,0,NKY 2/9/24 P34750,34750,0,0,0,0,0
NKY 2/9/24 C35000,35000,495,520,0,16.06369019,0,NKY 2/9/24 P35000,35000,0,0,0,0,0
08-Mar-24 (189d); CSize 1000,,,,,,,,,,,,,
NKY 3/8/24 C30250,30250,0,0,0,0,0,NKY 3/8/24 P30250,30250,785,810,0,18.24849701,0
NKY 3/8/24 C30500,30500,0,0,0,0,0,NKY 3/8/24 P30500,30500,1,1,0,3.209462166,0
NKY 3/8/24 C30750,30750,0,0,0,0,0,NKY 3/8/24 P30750,30750,920,945,0,17.79527855,0
NKY 3/8/24 C31000,31000,0,0,0,0,0,NKY 3/8/24 P31000,31000,985,1030,0,17.57889366,0
NKY 3/8/24 C31250,31250,0,0,0,0,0,NKY 3/8/24 P31250,31250,1065,1115,0,17.38596153,0
NKY 3/8/24 C31500,31500,0,0,0,0,0,NKY 3/8/24 P31500,31500,1,1,0,1.664386749,0
NKY 3/8/24 C31750,31750,0,0,0,0,0,NKY 3/8/24 P31750,31750,2,2,0,1.387577772,0
NKY 3/8/24 C32000,32000,0,0,0,0,0,NKY 3/8/24 P32000,32000,1350,1400,0,16.85822296,0
NKY 3/8/24 C32250,32250,1660,1710,0,16.80811119,0,NKY 3/8/24 P32250,32250,1460,1505,0,16.69342995,0
NKY 3/8/24 C32500,32500,1525,1575,0,16.65184784,0,NKY 3/8/24 P32500,32500,1575,1625,0,16.5644207,0
NKY 3/8/24 C32750,32750,1400,1450,0,16.53886604,0,NKY 3/8/24 P32750,32750,1700,1745,0,16.42555618,0
NKY 3/8/24 C33000,33000,1280,1330,0,16.41448593,0,NKY 3/8/24 P33000,33000,0,0,0,0,0
NKY 3/8/24 C33250,33250,1170,1220,0,16.32838058,0,NKY 3/8/24 P33250,33250,0,0,0,0,0
NKY 3/8/24 C33500,33500,1065,1115,0,16.22939301,0,NKY 3/8/24 P33500,33500,0,0,0,0,0
NKY 3/8/24 C33750,33750,975,1005,0,16.11761475,0,NKY 3/8/24 P33750,33750,0,0,0,0,0
NKY 3/8/24 C34000,34000,885,915,0,16.04900169,0,NKY 3/8/24 P34000,34000,0,0,0,0,0
NKY 3/8/24 C34250,34250,805,830,0,15.99904537,0,NKY 3/8/24 P34250,34250,0,0,0,0,0
NKY 3/8/24 C34500,34500,725,755,0,15.94161034,0,NKY 3/8/24 P34500,34500,0,0,0,0,0
NKY 3/8/24 C34750,34750,655,685,0,15.90856838,0,NKY 3/8/24 P34750,34750,0,0,0,0,0
NKY 3/8/24 C35000,35000,590,620,0,15.86835861,0,NKY 3/8/24 P35000,35000,0,0,0,0,0
