Maturity Date,Days,Strike,Bid,Ask,IMV
27/3/2024,209,18100,1492,1529,22.96900368
27/3/2024,209,18200,1436,1471,22.84865952
27/3/2024,209,18300,1381,1416,22.74440193
27/3/2024,209,18400,1328,1361,22.63755989
27/3/2024,209,18500,1271,1318,22.58218956
27/3/2024,209,18600,1223,1265,22.49644661
27/3/2024,209,18700,1171,1215,22.38051414
27/3/2024,209,18800,1124,1169,22.32435036
27/3/2024,209,18900,1079,1122,22.25508118
27/3/2024,209,19000,1035,1074,22.16641045
27/3/2024,209,19100,991,1060,22.36206627
27/3/2024,209,19200,951,1016,22.30318832
27/3/2024,209,19300,909,976,22.24179649
27/6/2024,301,17400,0,0,0
27/6/2024,301,17500,0,0,0
27/6/2024,301,17600,0,0,0
27/6/2024,301,17700,0,0,0
27/6/2024,301,17800,1893,1945,23.25278091
27/6/2024,301,17900,1835,1886,23.13966179
27/6/2024,301,18000,1778,1827,23.02071381
27/6/2024,301,18100,1722,1771,22.92101288
27/6/2024,301,18200,1667,1716,22.81906891
27/6/2024,301,18300,1612,1659,22.68936729
27/6/2024,301,18400,1559,1606,22.59164238
27/6/2024,301,18500,1505,1563,22.54824066
27/6/2024,301,18600,1456,1561,22.84043121
27/6/2024,301,18700,1406,1509,22.72856712
27/6/2024,301,18800,1359,1460,22.64794731
27/6/2024,301,18900,1313,1412,22.56809998
27/6/2024,301,19000,1267,1365,22.48147964
27/6/2024,301,19100,1224,1320,22.4177227
27/6/2024,301,19200,1180,1276,22.34117126
27/6/2024,301,19300,1140,1232,22.28001976
27/9/2024,393,17400,0,0,0
27/9/2024,393,17500,0,0,0
27/9/2024,393,17600,0,0,0
27/9/2024,393,17700,0,0,0
27/9/2024,393,17800,2024,2082,23.42603683
27/9/2024,393,17900,1968,2026,23.31894684
27/9/2024,393,18000,1914,1971,23.22216797
27/9/2024,393,18100,1860,1917,23.12156105
27/9/2024,393,18200,1808,1864,23.03077888
27/9/2024,393,18300,1756,1811,22.92904472
27/9/2024,393,18400,1699,1768,22.85048103
27/9/2024,393,18500,1653,1768,23.12798691
27/9/2024,393,18600,1603,1718,23.02630424
27/9/2024,393,18700,1556,1669,22.94085121
27/9/2024,393,18800,1512,1613,22.81745148
27/9/2024,393,18900,1463,1566,22.71025658
27/9/2024,393,19000,1419,1520,22.63270378
27/9/2024,393,19100,1379,1484,22.63879013
27/9/2024,393,19200,1337,1432,22.51265144
27/9/2024,393,19300,1293,1390,22.42977715
30/12/2024,487,16400,3182,3257,25.93595505
30/12/2024,487,16600,3038,3119,25.53195572
30/12/2024,487,16800,2904,2984,25.19801331
30/12/2024,487,17000,2780,2853,24.92967415
30/12/2024,487,17200,2642,2713,24.47811508
30/12/2024,487,17400,2519,2589,24.20745468
30/12/2024,487,17600,2399,2468,23.93751335
30/12/2024,487,17800,2284,2352,23.70630646
30/12/2024,487,18000,2172,2239,23.47915649
30/12/2024,487,18200,2064,2130,23.2693882
30/12/2024,487,18400,1960,2024,23.06936455
30/12/2024,487,18600,1860,1922,22.8843174
30/12/2024,487,18800,1763,1824,22.70744133
30/12/2024,487,19000,1670,1730,22.54455376
30/12/2024,487,19200,1582,1641,22.4077549
30/12/2024,487,19400,1502,1562,22.34593201
30/12/2024,487,19600,1420,1479,22.21367836
30/12/2024,487,19800,1343,1401,22.10878372
30/12/2024,487,20000,1268,1325,21.99004364
30/12/2024,487,20400,1130,1184,21.79835701
27/6/2025,666,16400,3431,3531,25.93057251
27/6/2025,666,16600,3299,3400,25.60243607
27/6/2025,666,16800,3171,3270,25.28973579
27/6/2025,666,17000,3046,3143,24.99157715
27/6/2025,666,17200,2924,3021,24.72079468
27/6/2025,666,17400,2805,2901,24.45465088
27/6/2025,666,17600,2690,2786,24.21896172
27/6/2025,666,17800,2578,2673,23.98427582
27/6/2025,666,18000,2469,2562,23.75959396
27/6/2025,666,18200,2364,2456,23.56078529
27/6/2025,666,18400,2262,2353,23.37039185
27/6/2025,666,18600,2163,2252,23.18246078
27/6/2025,666,18800,2067,2155,23.00739861
27/6/2025,666,19000,1975,2062,22.85022545
27/6/2025,666,19200,1886,1971,22.69482994
27/6/2025,666,19400,1801,1885,22.5625515
27/6/2025,666,19600,1719,1801,22.43235397
27/6/2025,666,19800,1640,1721,22.31519508
27/6/2025,666,20000,1564,1643,22.20092964
27/6/2025,666,20400,1420,1498,21.99884415
30/12/2025,852,16400,0,0,0
30/12/2025,852,16600,0,0,0
30/12/2025,852,16800,0,0,0
30/12/2025,852,17000,0,0,0
30/12/2025,852,17200,0,0,0
30/12/2025,852,17400,0,0,0
30/12/2025,852,17600,0,0,0
30/12/2025,852,17800,0,0,0
30/12/2025,852,18000,0,0,0
30/12/2025,852,18200,0,0,0
30/12/2025,852,18400,0,0,0
30/12/2025,852,18600,0,0,0
30/12/2025,852,18800,0,0,0
30/12/2025,852,19000,0,0,0
30/12/2025,852,19200,0,0,0
30/12/2025,852,19400,0,0,0
30/12/2025,852,19600,0,0,0
30/12/2025,852,19800,0,0,0
30/12/2025,852,20000,0,0,0
30/12/2025,852,20400,0,0,0
30/12/2026,1217,16400,0,0,0
30/12/2026,1217,16600,0,0,0
30/12/2026,1217,16800,0,0,0
30/12/2026,1217,17000,0,0,0
30/12/2026,1217,17200,0,0,0
30/12/2026,1217,17400,0,0,0
30/12/2026,1217,17600,0,0,0
30/12/2026,1217,17800,0,0,0
30/12/2026,1217,18000,0,0,0
30/12/2026,1217,18200,0,0,0
30/12/2026,1217,18400,0,0,0
30/12/2026,1217,18600,0,0,0
30/12/2026,1217,18800,0,0,0
30/12/2026,1217,19000,0,0,0
30/12/2026,1217,19200,0,0,0
30/12/2026,1217,19400,0,0,0
30/12/2026,1217,19600,0,0,0
30/12/2026,1217,19800,0,0,0
30/12/2026,1217,20000,0,0,0
30/12/2026,1217,20400,0,0,0
30/12/2027,1582,16400,0,0,0
30/12/2027,1582,16600,0,0,0
30/12/2027,1582,16800,0,0,0
30/12/2027,1582,17000,0,0,0
30/12/2027,1582,17200,0,0,0
30/12/2027,1582,17400,0,0,0
30/12/2027,1582,17600,0,0,0
30/12/2027,1582,17800,0,0,0
30/12/2027,1582,18000,0,0,0
30/12/2027,1582,18200,0,0,0
30/12/2027,1582,18400,0,0,0
30/12/2027,1582,18600,0,0,0
30/12/2027,1582,18800,0,0,0
30/12/2027,1582,19000,0,0,0
30/12/2027,1582,19200,0,0,0
30/12/2027,1582,19400,0,0,0
30/12/2027,1582,19600,0,0,0
30/12/2027,1582,19800,0,0,0
30/12/2027,1582,20000,0,0,0
30/12/2027,1582,20400,0,0,0
